place_fips,place_name,latitude,longitude,coordinates
61352,Redwood,29.809821,-97.9093037,"(+29.8098210, -097.9093037)"
61454,Regino Ramirez,26.4879855,-98.9337744,"(+26.4879855, -098.9337744)"
61724,Ricardo,27.4185553,-97.8476479,"(+27.4185553, -097.8476479)"
61766,Rice Tracts,26.0568903,-97.6278592,"(+26.0568903, -097.6278592)"
61784,Richards,30.5344291,-95.8497644,"(+30.5344291, -095.8497644)"
62132,Ringgold,33.8143335,-97.9424464,"(+33.8143335, -097.9424464)"
62318,Rivereno,26.305232,-98.6397532,"(+26.3052320, -098.6397532)"
62468,Riviera,27.2995337,-97.7980902,"(+27.2995337, -097.7980902)"
62624,Rochelle,31.2230793,-99.2065999,"(+31.2230793, -099.2065999)"
62732,Rock Island,29.5138093,-96.5671228,"(+29.5138093, -096.5671228)"
62834,Rockwell Place,35.0374977,-101.9063617,"(+35.0374977, -101.9063617)"
63164,Rosanky,29.9532556,-97.311922,"(+29.9532556, -097.3119220)"
63350,Rosita,28.6255404,-100.4278486,"(+28.6255404, -100.4278486)"
